code,metric,units,existing,2022,2030,2040,2050
inc,efficacy,lm/W,14.2,,,,
inc,lamp_life,hours,1000,,,,
inc,cost_install,USD2022/klm,0.35,,,,
inc,cost_maintain,USD2022/klmy,0.18,,,,
hal,efficacy,lm/W,17.4,,,,
hal,lamp_life,hours,1000,,,,
hal,cost_install,USD2022/klm,6.54,,,,
hal,cost_maintain,USD2022/klmy,4.06,,,,
cfl,efficacy,lm/W,68.5,69.2,72,75.7,79.6
cfl,lamp_life,hours,10000,10000,10000,10000,10000
cfl,cost_install,USD2022/klm,6,5.94,5.71,5.43,5.17
cfl,cost_maintain,USD2022/klmy,0.46,,,,
cfl-hef,efficacy,lm/W,,71.2,74.1,77.8,81.8
cfl-hef,lamp_life,hours,,12000,12000,12000,12000
cfl-hef,cost_install,USD2022/klm,,5.01,4.81,4.57,4.35
cfl-hef,cost_maintain,USD2022/klmy,,0.32,0.31,0.29,0.28
led,efficacy,lm/W,87.1,90,108.9,138.6,160.7
led,lamp_life,hours,21000,14000,14000,14000,14000
led,cost_install,USD2022/klm,5.68,4.9,4.04,3.56,3.07
led,cost_maintain,USD2022/klmy,0.18,0.22,0.18,0.16,0.14
led-hef,efficacy,lm/W,,100,120.9,154,178.6
led-hef,lamp_life,hours,,18000,18000,18000,18000
led-hef,cost_install,USD2022/klm,,6.65,5.49,4.83,4.17
led-hef,cost_maintain,USD2022/klmy,,0.24,0.2,0.17,0.15
t12,efficacy,lm/W,72,,,,
t12,lamp_life,hours,15000,,,,
t12,cost_install,USD2022/klm,10.21,,,,
t12,cost_maintain,USD2022/klmy,0.47,,,,
