tech,include,aeo_class,aeo_equip,end_uses,end_use_ids,description,cost_fixed,fuel,nrcan_equiv
R_APP_CL_WASH-HEF,FALSE,CL_WASH,CL_WASH_T4,appliances clothes washers,3,top loader washing machine high efficiency,15,electricity,appliances clothes washers - existing clothes washers
R_APP_CL_WASH-TYP,TRUE,CL_WASH,CL_WASH_T2,appliances clothes washers,3,top loader washing machine typical efficiency,15,electricity,appliances clothes washers - existing clothes washers
R_APP_DS_WASH-HEF,FALSE,DS_WASH,DS_WASH4,appliances dish washers,4,dish washer high efficiency,0,electricity,appliances dish washers - existing dish washers
R_APP_DS_WASH-TYP,TRUE,DS_WASH,DS_WASH2,appliances dish washers,4,dish washer typical efficiency,0,electricity,appliances dish washers - existing dish washers
R_APP_COOK_ELEC-TYP,TRUE,ELEC_STV,ELEC_STV2,appliances cooking ranges,6,electric cooking range typical efficiency,0,electricity,appliances cooking ranges - existing electric cooking ranges
R_APP_DRY_ELEC-HEF,FALSE,ELEC_DRY,ELEC_DRY4,appliances clothes dryers,7,electric dryer high efficiency,0,electricity,appliances clothes dryers - existing electric clothes dryers
R_APP_DRY_ELEC-TYP,TRUE,ELEC_DRY,ELEC_DRY2,appliances clothes dryers,7,electric dryer typical efficiency,0,electricity,appliances clothes dryers - existing electric clothes dryers
R_APP_FREZ-HEF,FALSE,FREZ,FREZ_C4,appliances freezers,9,freezer high efficiency,10,electricity,appliances freezers - existing freezers
R_APP_FREZ-TYP,TRUE,FREZ,FREZ_C2,appliances freezers,9,freezer typical efficiency,10,electricity,appliances freezers - existing freezers
R_APP_COOK_LPG-HEF,FALSE,LPG_STV,LPG_STV4,appliances cooking ranges,6,lpg cooking range high efficiency,0,lpg,appliances cooking ranges - existing natural gas cooking ranges
R_APP_COOK_LPG-TYP,FALSE,LPG_STV,LPG_STV2,appliances cooking ranges,6,lpg cooking range typical efficiency,0,lpg,appliances cooking ranges - existing natural gas cooking ranges
R_APP_COOK_NG-HEF,FALSE,NG_STV,NG_STV4,appliances cooking ranges,6,natural gas cooking range high efficiency,0,natural gas,appliances cooking ranges - existing natural gas cooking ranges
R_APP_COOK_NG-TYP,TRUE,NG_STV,NG_STV2,appliances cooking ranges,6,natural gas cooking range typical efficiency,0,natural gas,appliances cooking ranges - existing natural gas cooking ranges
R_APP_DRY_NG-HEF,FALSE,NG_DRY,NG_DRY4,appliances clothes dryers,7,natural gas dryer high efficiency,0,natural gas,appliances clothes dryers - existing natural gas clothes dryers
R_APP_DRY_NG-TYP,TRUE,NG_DRY,NG_DRY2,appliances clothes dryers,7,natural gas dryer typical efficiency,0,natural gas,appliances clothes dryers - existing natural gas clothes dryers
R_APP_REFR-HEF,FALSE,REFR,REFR_TF4,appliances refrigerators,8,refrigerator with bottom-mounted freezer high efficiency,20,electricity,appliances refrigerators - existing refrigerators
R_APP_REFR-TYP,TRUE,REFR,REFR_TF2,appliances refrigerators,8,refrigerator with bottom-mounted freezer typical efficiency,20,electricity,appliances refrigerators - existing refrigerators
R_SPC_CENT_AC-HEF,FALSE,CENT_AIR,CENT_AIR4,space cooling,2,central air conditioner high efficiency,85,electricity,space cooling - existing central air conditioning
R_SPC_CENT_AC-TYP,TRUE,CENT_AIR,CENT_AIR2,space cooling,2,central air conditioner typical efficiency,85,electricity,space cooling - existing central air conditioning
R_SPC_ROOM_AC-HEF,FALSE,ROOM_AIR,ROOM_AIR4,space cooling,2,room air conditioner high efficiency,0,electricity,space cooling - existing room air conditioning
R_SPC_ROOM_AC-TYP,TRUE,ROOM_AIR,ROOM_AIR2,space cooling,2,room air conditioner typical efficiency,0,electricity,space cooling - existing room air conditioning
R_SPH_ELEC_RAD,TRUE,ELEC_RAD,ELEC_RAD2,space heating,1,electric radiator typical efficiency,0,electricity,space heating - existing electric
R_SPH_LPG-HEF,FALSE,LPG_FA,LPG_FA4,space heating,1,lpg furnace high efficiency,130,lpg,space heating - existing other (LPG)
R_SPH_LPG-TYP,TRUE,LPG_FA,LPG_FA2,space heating,1,lpg furnace typical efficiency,130,lpg,space heating - existing other (LPG)
R_SPH_NG_BLR-HEF,FALSE,NG_RAD,NG_RAD4,space heating,1,natural gas boiler high efficiency,160,natural gas,space heating - existing natural gas
R_SPH_NG_BLR-TYP,TRUE,NG_RAD,NG_RAD2,space heating,1,natural gas boiler typical efficiency,160,natural gas,space heating - existing natural gas
R_SPH_NG_FRN-HEF,FALSE,NG_FA,NG_FA4,space heating,1,natural gas furnace high efficiency,130,natural gas,space heating - existing natural gas
R_SPH_NG_FRN-TYP,TRUE,NG_FA,NG_FA2,space heating,1,natural gas furnace typical efficiency,130,natural gas,space heating - existing natural gas
R_SPH_OIL_BLR-HEF,FALSE,DIST_RAD,DIST_RAD4,space heating,1,oil boiler high efficiency,170,oil,space heating - existing oil
R_SPH_OIL_BLR-TYP,FALSE,DIST_RAD,DIST_RAD2,space heating,1,oil boiler typical efficiency,170,oil,space heating - existing oil
R_SPH_OIL_FRN-HEF,FALSE,DIST_FA,DIST_FA4,space heating,1,oil furnace high efficiency,80,oil,space heating - existing oil
R_SPH_OIL_FRN-TYP,TRUE,DIST_FA,DIST_FA2,space heating,1,oil furnace typical efficiency,80,oil,space heating - existing oil
R_SPH_WOOD-HEF,FALSE,WOOD_HT,WOOD_HT4,space heating,1,wood stove high efficiency,190,wood,space heating - existing wood
R_SPH_WOOD-TYP,TRUE,WOOD_HT,WOOD_HT2,space heating,1,wood stove typical efficiency,190,wood,space heating - existing wood
R_SPHC_AIR_HP-HEF,FALSE,ELEC_HP,ELEC_HP4,space heating+space cooling,1+2,air-source heat pump high efficiency,85,electricity,space heating - existing heat pump+space cooling - existing central air conditioning
R_SPHC_AIR_HP-TYP,TRUE,ELEC_HP,ELEC_HP2,space heating+space cooling,1+2,air-source heat pump typical efficiency,85,electricity,space heating - existing heat pump+space cooling - existing central air conditioning
R_SPHC_GEO_HP-HEF,FALSE,GEO_HP,GEO_HP4,space heating+space cooling,1+2,geo-exchange heat pump high efficiency,90,electricity,space heating - existing heat pump+space cooling - existing central air conditioning
R_SPHC_GEO_HP-TYP,FALSE,GEO_HP,GEO_HP2,space heating+space cooling,1+2,geo-exchange heat pump typical efficiency,90,electricity,space heating - existing heat pump+space cooling - existing central air conditioning
R_SPHC_NG_HP-TYP,FALSE,NG_HP,NG_HP2,space heating+space cooling,1+2,natural gas heat pump typical efficiency,200,natural gas,space heating - existing heat pump+space cooling - existing central air conditioning
R_WAH_ELEC-HEF,FALSE,ELEC_WH,ELEC_WH4,water heating,5,electric high efficiency,20,electricity,water heating - existing electric
R_WAH_ELEC-TYP,TRUE,ELEC_WH,ELEC_WH2,water heating,5,electric typical efficiency,20,electricity,water heating - existing electric
R_WAH_HP-HEF,FALSE,ELEC_WH,ELEC_WH7,water heating,5,heat pump high efficiency,20,electricity,water heating - existing electric
R_WAH_HP-TYP,TRUE,ELEC_WH,ELEC_WH5,water heating,5,heat pump typical efficiency,20,electricity,water heating - existing electric
R_WAH_LPG-HEF,FALSE,LPG_WH,LPG_WH4,water heating,5,lpg high efficiency,20,lpg,water heating - existing other (LPG)
R_WAH_LPG-TYP,TRUE,LPG_WH,LPG_WH2,water heating,5,lpg typical efficiency,20,lpg,water heating - existing other (LPG)
R_WAH_NG-HEF,FALSE,NG_WH,NG_WH4,water heating,5,natural gas high efficiency,20,natural gas,water heating - existing natural gas
R_WAH_NG-TYP,TRUE,NG_WH,NG_WH2,water heating,5,natural gas typical efficiency,20,natural gas,water heating - existing natural gas
R_WAH_OIL-HEF,FALSE,DIST_WH,DIST_WH4,water heating,5,oil high efficiency,210,oil,water heating - existing oil
R_WAH_OIL-TYP,TRUE,DIST_WH,DIST_WH2,water heating,5,oil typical efficiency,210,oil,water heating - existing oil
R_WAH_SOLAR-TYP,FALSE,SOLAR_WH,SOLAR_WH2,water heating,5,solar typical efficiency,80,ethos,water heating - existing electric
