Year,gdp_deflator,general_cpi,energy_and_petroleum,industrial,construction_non_residential
2000,1.44379818,1.4360587,1.45255829,1.288513938,1.848305085
2001,1.42024175,1.400817996,1.523348616,1.271721142,1.790640394
2002,1.402859625,1.37,1.622242315,1.265308223,1.758162031
2003,1.358640322,1.332684825,1.47452334,1.290678144,1.70657277
2004,1.315667134,1.308500478,1.254334452,1.263228193,1.602498163
2005,1.275824572,1.280373832,1.014474726,1.267003298,1.516689847
2006,1.24381123,1.255728689,0.931471291,1.246957404,1.407550823
2007,1.204328974,1.228699552,0.884103676,1.233942192,1.285209193
2008,1.1581515,1.200701139,0.704768639,1.211688184,1.165375367
2009,1.185585781,1.197552448,0.97979467,1.210018699,1.238149305
2010,1.152738245,1.175965665,0.865258488,1.208353808,1.243089199
2011,1.116609879,1.142618849,0.686959185,1.162318019,1.199340115
2012,1.103225855,1.125718981,0.655822794,1.157503295,1.16631016
2013,1.084385226,1.115635179,0.642575747,1.156523375,1.156109197
2014,1.063700519,1.094249201,0.63700916,1.124988563,1.140392157
2015,1.073108651,1.082148499,0.819194594,1.08776431,1.130344649
2016,1.065077646,1.066978193,0.901789304,1.075583938,1.119035403
2017,1.03844165,1.050613497,0.796148385,1.056725398,1.090227443
2018,1.021913081,1.026986507,0.688858174,1.035019783,1.050325066
2019,1.006154575,1.007352941,0.724812152,1.027666332,1.015126833
2020,1,1,1,1,1
2021,0.924613153,0.967514124,0.700531001,0.897052386,0.935048232
2022,0.861446913,0.906084656,0.457074438,0.827388964,0.839922978
