Year,CAD,USD,EUR,GBP,AUD
2000,1,1.4852024,1.3704,2.249876798,0.8633
2001,1,1.548416331,1.3868,2.229756182,0.8008
2002,1,1.570359761,1.483200001,2.358175299,0.8535
2003,1,1.401461751,1.582599999,2.288299599,0.9105
2004,1,1.301520239,1.616899999,2.384185319,0.9582
2005,1,1.2116324,1.508999999,2.206698802,0.9243
2006,1,1.1340936,1.423699999,2.088587602,0.8543
2007,1,1.07478127,1.4691,2.148653778,0.8982
2008,1,1.06601429,1.560299999,1.96166905,0.9002
2009,1,1.14197729,1.78035578,1.585499999,0.8969
2010,1,1.02993904,1.3661,1.591770121,0.947
2011,1,0.9890692,1.3767,1.586069999,1.0206
2012,1,0.99958008,1.285,1.583994019,1.0353
2013,1,1.0299148,1.368099999,1.6112656,0.9966
2014,1,1.104466399,1.4671,1.8190312,0.9963
2015,1,1.278710799,1.4182,1.953984001,0.9604
2016,1,1.324806401,1.466,1.7962116,0.9852
2017,1,1.298599999,1.464999999,1.672000001,0.9951
2018,1,1.2957,1.5302,1.729900001,0.9687
2019,1,1.3269,1.4856,1.694500001,0.9228
2020,1,1.341500001,1.529799999,1.7199,0.9247
2021,1,1.253500001,1.4828,1.724599999,0.942
2022,1,1.3013,1.3696,1.6076,0.9034
2023,1,1.347690476,1.456815079,1.662799206,0.910746825
