end_use,comm,description,c2a,cap_unit,dem_unit,use_weather_map
space heating,d_r_sph,demand for residential space heating,2000,kunit,PJ,TRUE
space cooling,d_r_spc,demand for residential space cooling,2000,kunit,PJ,TRUE
water heating,d_r_wah,demand for residential water heating,2000,kunit,PJ,TRUE
lighting,d_r_lgt,demand for residential lighting,1,Glm,Glmy,FALSE
appliances refrigerators,d_r_app_ref,demand for residential refrigerators,1,kunit,kunity,TRUE
appliances freezers,d_r_app_frz,demand for residential freezers,1,kunit,kunity,TRUE
appliances dish washers,d_r_app_dsh,demand for residential dish washers,1,kunit,kunity,FALSE
appliances clothes washers,d_r_app_cwsh,demand for residential clothes washers,1,kunit,kunity,FALSE
appliances clothes dryers,d_r_app_cdry,demand for residential clothes dryers,1,kunit,kunity,FALSE
appliances cooking ranges,d_r_app_cook_rng,demand for residential cooking ranges,1,kunit,kunity,FALSE
appliances other,d_r_app_oth,demand for other residential electrical appliances,1,kunit,kunity,FALSE
