tech,include_new,flags,aeo_class,aeo_equip,end_uses,end_use_ids,description,cost_fixed,fuel,nrcan_equiv
R_APP_CL_WASH-HEF-NEW,FALSE,annual,CL_WASH,CL_WASH_T4,appliances clothes washers,3,top loader washing machine high efficiency - new,15,electricity,appliances clothes washers - clothes washers - existing
R_APP_CL_WASH-TYP-NEW,TRUE,annual,CL_WASH,CL_WASH_T1,appliances clothes washers,3,top loader washing machine typical efficiency - new,15,electricity,appliances clothes washers - clothes washers - existing
R_APP_DS_WASH-HEF-NEW,FALSE,annual,DS_WASH,DS_WASH4,appliances dish washers,4,dish washer high efficiency - new,0,electricity,appliances dish washers - dish washers - existing
R_APP_DS_WASH-TYP-NEW,TRUE,annual,DS_WASH,DS_WASH3,appliances dish washers,4,dish washer typical efficiency - new,0,electricity,appliances dish washers - dish washers - existing
R_APP_COOK_ELEC-TYP-NEW,TRUE,annual,ELEC_STV,ELEC_STV2,appliances cooking ranges,6,electric cooking range typical efficiency - new,0,electricity,appliances cooking ranges - electric cooking ranges - existing
R_APP_DRY_ELEC-HEF-NEW,FALSE,annual,ELEC_DRY,ELEC_DRY4,appliances clothes dryers,7,electric dryer high efficiency - new,0,electricity,appliances clothes dryers - electric clothes dryers - existing
R_APP_DRY_ELEC-TYP-NEW,TRUE,annual,ELEC_DRY,ELEC_DRY1,appliances clothes dryers,7,electric dryer typical efficiency - new,0,electricity,appliances clothes dryers - electric clothes dryers - existing
R_APP_FREZ-HEF-NEW,FALSE,annual,FREZ,FREZ_C4,appliances freezers,9,freezer high efficiency - new,10,electricity,appliances freezers - freezers - existing
R_APP_FREZ-TYP-NEW,TRUE,annual,FREZ,FREZ_C1,appliances freezers,9,freezer typical efficiency - new,10,electricity,appliances freezers - freezers - existing
R_APP_COOK_LPG-HEF-NEW,FALSE,annual,LPG_STV,LPG_STV4,appliances cooking ranges,6,lpg cooking range high efficiency - new,0,lpg,appliances cooking ranges - natural gas cooking ranges - existing
R_APP_COOK_LPG-TYP-NEW,FALSE,annual,LPG_STV,LPG_STV2,appliances cooking ranges,6,lpg cooking range typical efficiency - new,0,lpg,appliances cooking ranges - natural gas cooking ranges - existing
R_APP_COOK_NG-HEF-NEW,FALSE,annual,NG_STV,NG_STV4,appliances cooking ranges,6,natural gas cooking range high efficiency - new,0,natural gas,appliances cooking ranges - natural gas cooking ranges - existing
R_APP_COOK_NG-TYP-NEW,TRUE,annual,NG_STV,NG_STV2,appliances cooking ranges,6,natural gas cooking range typical efficiency - new,0,natural gas,appliances cooking ranges - natural gas cooking ranges - existing
R_APP_DRY_NG-HEF-NEW,FALSE,annual,NG_DRY,NG_DRY4,appliances clothes dryers,7,natural gas dryer high efficiency - new,0,natural gas,appliances clothes dryers - natural gas clothes dryers - existing
R_APP_DRY_NG-TYP-NEW,TRUE,annual,NG_DRY,NG_DRY1,appliances clothes dryers,7,natural gas dryer typical efficiency - new,0,natural gas,appliances clothes dryers - natural gas clothes dryers - existing
R_APP_REFR-HEF-NEW,FALSE,annual,REFR,REFR_TF4,appliances refrigerators,8,refrigerator with bottom-mounted freezer high efficiency - new,20,electricity,appliances refrigerators - refrigerators - existing
R_APP_REFR-TYP-NEW,TRUE,annual,REFR,REFR_TF2,appliances refrigerators,8,refrigerator with bottom-mounted freezer typical efficiency - new,20,electricity,appliances refrigerators - refrigerators - existing
R_SPC_CENT_AC-HEF-NEW,FALSE,annual,CENT_AIR,CENT_AIR4,space cooling,2,central air conditioner high efficiency - new,85,electricity,space cooling - central air conditioning - existing
R_SPC_CENT_AC-TYP-NEW,TRUE,annual,CENT_AIR,CENT_AIR2,space cooling,2,central air conditioner typical efficiency - new,85,electricity,space cooling - central air conditioning - existing
R_SPC_ROOM_AC-HEF-NEW,FALSE,annual,ROOM_AIR,ROOM_AIR4,space cooling,2,room air conditioner high efficiency - new,0,electricity,space cooling - room air conditioning - existing
R_SPC_ROOM_AC-TYP-NEW,TRUE,annual,ROOM_AIR,ROOM_AIR1,space cooling,2,room air conditioner typical efficiency - new,0,electricity,space cooling - room air conditioning - existing
R_SPH_ELEC_RAD-NEW,TRUE,annual,ELEC_RAD,ELEC_RAD2,space heating,1,electric radiator typical efficiency - new,0,electricity,space heating - electric - existing
R_SPH_LPG-HEF-NEW,FALSE,annual,LPG_FA,LPG_FA4,space heating,1,lpg furnace high efficiency - new,130,lpg,space heating - other (LPG) - existing
R_SPH_LPG-TYP-NEW,FALSE,annual,LPG_FA,LPG_FA2,space heating,1,lpg furnace typical efficiency - new,130,lpg,space heating - other (LPG) - existing
R_SPH_NG_BLR-HEF-NEW,FALSE,annual,NG_RAD,NG_RAD4,space heating,1,natural gas boiler high efficiency - new,160,natural gas,space heating - natural gas - existing
R_SPH_NG_BLR-TYP-NEW,FALSE,annual,NG_RAD,NG_RAD2,space heating,1,natural gas boiler typical efficiency - new,160,natural gas,space heating - natural gas - existing
R_SPH_NG_FRN-HEF-NEW,FALSE,annual,NG_FA,NG_FA4,space heating,1,natural gas furnace high efficiency - new,130,natural gas,space heating - natural gas - existing
R_SPH_NG_FRN-TYP-NEW,TRUE,annual,NG_FA,NG_FA2,space heating,1,natural gas furnace typical efficiency - new,130,natural gas,space heating - natural gas - existing
R_SPH_OIL_BLR-HEF-NEW,FALSE,annual,DIST_RAD,DIST_RAD4,space heating,1,oil boiler high efficiency - new,170,oil,space heating - oil - existing
R_SPH_OIL_BLR-TYP-NEW,FALSE,annual,DIST_RAD,DIST_RAD2,space heating,1,oil boiler typical efficiency - new,170,oil,space heating - oil - existing
R_SPH_OIL_FRN-HEF-NEW,FALSE,annual,DIST_FA,DIST_FA4,space heating,1,oil furnace high efficiency - new,80,oil,space heating - oil - existing
R_SPH_OIL_FRN-TYP-NEW,FALSE,annual,DIST_FA,DIST_FA2,space heating,1,oil furnace typical efficiency - new,80,oil,space heating - oil - existing
R_SPH_WOOD-HEF-NEW,FALSE,annual,WOOD_HT,WOOD_HT4,space heating,1,wood stove high efficiency - new,190,wood,space heating - wood - existing
R_SPH_WOOD-TYP-NEW,TRUE,annual,WOOD_HT,WOOD_HT2,space heating,1,wood stove typical efficiency - new,190,wood,space heating - wood - existing
R_SPHC_AIR_HP-HEF-NEW,FALSE,annual,ELEC_HP,ELEC_HP4,space heating+space cooling,1+2,air-source heat pump high efficiency - new,85,electricity,space heating - heat pump - existing+space cooling - central air conditioning - existing
R_SPHC_AIR_HP-TYP-NEW,TRUE,annual,ELEC_HP,ELEC_HP2,space heating+space cooling,1+2,air-source heat pump typical efficiency - new,85,electricity,space heating - heat pump - existing+space cooling - central air conditioning - existing
