hour,ON,AB
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0.116,0
14,0.345,0
15,0.519,0
16,0.595,0.104
17,0.622,0.189
18,0.555,0.126
19,0.445,0.128
20,0.259,0.12
21,0.031,0.094
22,0,0.04
23,0,0.001
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0.171,0
38,0.395,0
39,0.446,0
40,0.359,0.059
41,0.243,0.104
42,0.191,0.087
43,0.149,0.073
44,0.089,0.076
45,0.006,0.1
46,0,0.021
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0.05,0
62,0.19,0
63,0.308,0
64,0.355,0.036
65,0.239,0.065
66,0.204,0.275
67,0.169,0.227
68,0.091,0.125
69,0.011,0.094
70,0,0.04
71,0,0.001
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0.135,0
86,0.338,0
87,0.499,0
88,0.591,0.17
89,0.615,0.351
90,0.572,0.469
91,0.462,0.508
92,0.274,0.465
93,0.047,0.334
94,0,0.15
95,0,0.007
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0.064,0
110,0.227,0
111,0.442,0.001
112,0.565,0.14
113,0.483,0.255
114,0.463,0.413
115,0.33,0.443
116,0.15,0.306
117,0.019,0.229
118,0,0.127
119,0,0.005
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0.196,0
134,0.43,0
135,0.57,0
136,0.6,0.011
137,0.609,0.04
138,0.539,0.091
139,0.439,0.169
140,0.3,0.185
141,0.069,0.126
142,0,0.053
143,0,0.002
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0.004,0
158,0.026,0
159,0.043,0.002
160,0.054,0.124
161,0.053,0.237
162,0.046,0.256
163,0.031,0.222
164,0.013,0.187
165,0,0.141
166,0,0.099
167,0,0.01
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0.021,0
182,0.102,0
183,0.231,0.006
184,0.211,0.279
185,0.081,0.48
186,0.07,0.579
187,0.07,0.61
188,0.04,0.558
189,0,0.363
190,0,0.074
191,0,0.001
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0.025,0
206,0.073,0
207,0.095,0
208,0.101,0.009
209,0.092,0.032
210,0.084,0.058
211,0.074,0.077
212,0.051,0.098
213,0.007,0.18
214,0,0.136
215,0,0.007
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0.13,0
230,0.333,0
231,0.429,0
232,0.481,0.062
233,0.516,0.21
234,0.471,0.467
235,0.397,0.528
236,0.227,0.515
237,0.048,0.421
238,0,0.242
239,0,0.028
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0.2,0
254,0.464,0
255,0.61,0.007
256,0.694,0.265
257,0.705,0.445
258,0.647,0.539
259,0.525,0.563
260,0.334,0.522
261,0.079,0.397
262,0,0.176
263,0,0.014
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0.075,0
278,0.222,0
279,0.368,0.006
280,0.448,0.208
281,0.489,0.378
282,0.409,0.461
283,0.2,0.434
284,0.078,0.32
285,0.008,0.191
286,0,0.098
287,0,0.01
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0.237,0
302,0.475,0
303,0.62,0
304,0.693,0.03
305,0.704,0.074
306,0.657,0.123
307,0.544,0.19
308,0.348,0.263
309,0.092,0.269
310,0,0.209
311,0,0.033
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0.182,0
326,0.391,0
327,0.509,0.011
328,0.534,0.272
329,0.521,0.462
330,0.466,0.557
331,0.31,0.582
332,0.16,0.548
333,0.026,0.449
334,0,0.272
335,0,0.048
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0.031,0
350,0.109,0
351,0.183,0.007
352,0.257,0.161
353,0.24,0.315
354,0.205,0.432
355,0.167,0.492
356,0.092,0.497
357,0.012,0.426
358,0,0.249
359,0,0.044
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0.055,0
374,0.217,0
375,0.399,0.009
376,0.636,0.177
377,0.713,0.337
378,0.672,0.467
379,0.56,0.492
380,0.366,0.443
381,0.102,0.334
382,0,0.172
383,0,0.025
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0.088,0
398,0.188,0
399,0.254,0.001
400,0.244,0.049
401,0.211,0.112
402,0.173,0.155
403,0.123,0.168
404,0.058,0.113
405,0.007,0.055
406,0,0.022
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0.06,0
422,0.259,0
423,0.339,0.001
424,0.328,0.041
425,0.312,0.113
426,0.281,0.194
427,0.148,0.221
428,0.076,0.216
429,0.02,0.2
430,0,0.154
431,0,0.035
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0.01,0
446,0.032,0
447,0.055,0.013
448,0.056,0.204
449,0.062,0.382
450,0.05,0.495
451,0.042,0.476
452,0.015,0.344
453,0.002,0.268
454,0,0.176
455,0,0.03
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
