hour,season,tod
0,D001,H01
1,D001,H02
2,D001,H03
3,D001,H04
4,D001,H05
5,D001,H06
6,D001,H07
7,D001,H08
8,D001,H09
9,D001,H10
10,D001,H11
11,D001,H12
12,D001,H13
13,D001,H14
14,D001,H15
15,D001,H16
16,D001,H17
17,D001,H18
18,D001,H19
19,D001,H20
20,D001,H21
21,D001,H22
22,D001,H23
23,D001,H24
24,D002,H01
25,D002,H02
26,D002,H03
27,D002,H04
28,D002,H05
29,D002,H06
30,D002,H07
31,D002,H08
32,D002,H09
33,D002,H10
34,D002,H11
35,D002,H12
36,D002,H13
37,D002,H14
38,D002,H15
39,D002,H16
40,D002,H17
41,D002,H18
42,D002,H19
43,D002,H20
44,D002,H21
45,D002,H22
46,D002,H23
47,D002,H24
48,D003,H01
49,D003,H02
50,D003,H03
51,D003,H04
52,D003,H05
53,D003,H06
54,D003,H07
55,D003,H08
56,D003,H09
57,D003,H10
58,D003,H11
59,D003,H12
60,D003,H13
61,D003,H14
62,D003,H15
63,D003,H16
64,D003,H17
65,D003,H18
66,D003,H19
67,D003,H20
68,D003,H21
69,D003,H22
70,D003,H23
71,D003,H24
72,D004,H01
73,D004,H02
74,D004,H03
75,D004,H04
76,D004,H05
77,D004,H06
78,D004,H07
79,D004,H08
80,D004,H09
81,D004,H10
82,D004,H11
83,D004,H12
84,D004,H13
85,D004,H14
86,D004,H15
87,D004,H16
88,D004,H17
89,D004,H18
90,D004,H19
91,D004,H20
92,D004,H21
93,D004,H22
94,D004,H23
95,D004,H24
96,D005,H01
97,D005,H02
98,D005,H03
99,D005,H04
100,D005,H05
101,D005,H06
102,D005,H07
103,D005,H08
104,D005,H09
105,D005,H10
106,D005,H11
107,D005,H12
108,D005,H13
109,D005,H14
110,D005,H15
111,D005,H16
112,D005,H17
113,D005,H18
114,D005,H19
115,D005,H20
116,D005,H21
117,D005,H22
118,D005,H23
119,D005,H24
120,D006,H01
121,D006,H02
122,D006,H03
123,D006,H04
124,D006,H05
125,D006,H06
126,D006,H07
127,D006,H08
128,D006,H09
129,D006,H10
130,D006,H11
131,D006,H12
132,D006,H13
133,D006,H14
134,D006,H15
135,D006,H16
136,D006,H17
137,D006,H18
138,D006,H19
139,D006,H20
140,D006,H21
141,D006,H22
142,D006,H23
143,D006,H24
144,D007,H01
145,D007,H02
146,D007,H03
147,D007,H04
148,D007,H05
149,D007,H06
150,D007,H07
151,D007,H08
152,D007,H09
153,D007,H10
154,D007,H11
155,D007,H12
156,D007,H13
157,D007,H14
158,D007,H15
159,D007,H16
160,D007,H17
161,D007,H18
162,D007,H19
163,D007,H20
164,D007,H21
165,D007,H22
166,D007,H23
167,D007,H24
168,D008,H01
169,D008,H02
170,D008,H03
171,D008,H04
172,D008,H05
173,D008,H06
174,D008,H07
175,D008,H08
176,D008,H09
177,D008,H10
178,D008,H11
179,D008,H12
180,D008,H13
181,D008,H14
182,D008,H15
183,D008,H16
184,D008,H17
185,D008,H18
186,D008,H19
187,D008,H20
188,D008,H21
189,D008,H22
190,D008,H23
191,D008,H24
192,D009,H01
193,D009,H02
194,D009,H03
195,D009,H04
196,D009,H05
197,D009,H06
198,D009,H07
199,D009,H08
200,D009,H09
201,D009,H10
202,D009,H11
203,D009,H12
204,D009,H13
205,D009,H14
206,D009,H15
207,D009,H16
208,D009,H17
209,D009,H18
210,D009,H19
211,D009,H20
212,D009,H21
213,D009,H22
214,D009,H23
215,D009,H24
216,D010,H01
217,D010,H02
218,D010,H03
219,D010,H04
220,D010,H05
221,D010,H06
222,D010,H07
223,D010,H08
224,D010,H09
225,D010,H10
226,D010,H11
227,D010,H12
228,D010,H13
229,D010,H14
230,D010,H15
231,D010,H16
232,D010,H17
233,D010,H18
234,D010,H19
235,D010,H20
236,D010,H21
237,D010,H22
238,D010,H23
239,D010,H24
240,D011,H01
241,D011,H02
242,D011,H03
243,D011,H04
244,D011,H05
245,D011,H06
